order_id,region,country,shipping_mode,real_days,scheduled_days,delay_days,is_late,order_value_usd,item_quantity,co2_emission_tons
75908,South Asia,India,Standard Class,4,4,0,0,327.75,1,5e-05
75907,Eastern Asia,China,First Class,2,1,1,1,324.4700012,1,0.0004
75906,Eastern Asia,China,First Class,2,1,1,1,321.2000122,1,0.0004
75905,Southeast Asia,Singapur,First Class,2,1,1,1,317.9200134,1,0.0004
75904,South Asia,India,First Class,2,1,1,1,314.6400146,1,0.0004
75903,Oceania,Australia,First Class,2,1,1,1,311.3599854,1,0.0004
75902,Oceania,Australia,Same Day,1,0,1,1,309.7200012,1,0.0009
75901,Oceania,Australia,Same Day,1,0,1,1,304.8099976,1,0.0009
75900,Southeast Asia,Singapur,Same Day,1,0,1,1,298.25,1,0.0009
75899,Southeast Asia,Singapur,Same Day,1,0,1,1,294.980011,1,0.0009
75898,Southeast Asia,Indonesia,Standard Class,4,4,0,0,288.4200134,1,5e-05
75897,Southeast Asia,Indonesia,Standard Class,3,4,-1,0,285.1400146,1,5e-05
75896,Oceania,Australia,Standard Class,2,4,-2,0,278.5899963,1,5e-05
75895,South Asia,India,Standard Class,6,4,2,1,275.3099976,1,5e-05
75894,South Asia,India,Second Class,5,2,3,1,272.0299988,1,0.0002
75893,Eastern Asia,China,Standard Class,4,4,0,0,268.7600098,1,5e-05
28744,South Asia,India,Second Class,5,2,3,1,115.1800003,2,0.0004
45461,West Asia,Turquía,Second Class,2,2,0,0,79.18000031,2,0.0004
31115,Oceania,Australia,Second Class,6,2,4,1,96.0,2,0.0004
45766,West Asia,Turquía,Second Class,2,2,0,0,75.98000336,2,0.0004
47752,Eastern Asia,Mongolia,Second Class,3,2,1,1,91.0,2,0.0004
50054,West Asia,Turquía,Second Class,5,2,3,1,87.0,2,0.0004
20365,South Asia,India,Second Class,6,2,4,1,82.0,2,0.0004
36146,West of USA ,Estados Unidos,Second Class,2,2,0,0,74.68000031,2,0.0004
41234,West of USA ,Estados Unidos,Second Class,5,2,3,1,90.15000153,2,0.0004
32090,West of USA ,Estados Unidos,Second Class,6,2,4,1,117.5800018,2,0.0004
34773,US Center ,Estados Unidos,Second Class,4,2,2,1,95.98000336,2,0.0004
44046,West Africa,Nigeria,Second Class,2,2,0,0,263.9700012,3,0.0006
46414,Central Africa,República Democrática del Congo,Second Class,5,2,3,1,113.9700012,3,0.0006
46599,West Africa,Senegal,Second Class,5,2,3,1,63.99000168,3,0.0006
48434,North Africa,Marruecos,Second Class,5,2,3,1,79.66000366,3,0.0006
12827,Western Europe,Alemania,Second Class,3,2,1,1,293.9700012,3,0.0006
63936,Western Europe,Francia,Second Class,2,2,0,0,269.9700012,3,0.0006
65030,Western Europe,Francia,Second Class,6,2,4,1,224.9799957,3,0.0006
18108,Western Europe,Países Bajos,Second Class,4,2,2,1,176.3699951,3,0.0006
62571,Northern Europe,Reino Unido,Second Class,2,2,0,0,167.3699951,3,0.0006
17162,Northern Europe,Reino Unido,Second Class,3,2,1,1,163.7700043,3,0.0006
65922,Western Europe,Francia,Second Class,3,2,1,1,161.9700012,3,0.0006
63936,Western Europe,Francia,Second Class,2,2,0,0,139.5,3,0.0006
64813,Northern Europe,Reino Unido,Second Class,4,2,2,1,107.9700012,3,0.0006
67892,Western Europe,Alemania,Second Class,3,2,1,1,112.5,3,0.0006
12525,Western Europe,Francia,Second Class,6,2,4,1,55.40999985,3,0.0006
5895,Central America,Guatemala,Second Class,6,2,4,1,299.9700012,3,0.0006
56359,Central America,El Salvador,Second Class,5,2,3,1,178.1699982,3,0.0006
58613,Central America,Panamá,Second Class,4,2,2,1,170.9700012,3,0.0006
7824,Caribbean,República Dominicana,Second Class,5,2,3,1,170.0700073,3,0.0006
7814,South America,Venezuela,Second Class,5,2,3,1,167.3699951,3,0.0006
7814,South America,Venezuela,Second Class,5,2,3,1,163.7700043,3,0.0006
60807,Caribbean,República Dominicana,Second Class,3,2,1,1,152.9700012,3,0.0006
53413,South America,Colombia,Second Class,4,2,2,1,152.9700012,3,0.0006
7888,Central America,El Salvador,Second Class,4,2,2,1,150.0,3,0.0006
6783,Central America,Honduras,Second Class,4,2,2,1,115.1699982,3,0.0006
56973,South America,Brasil,Second Class,4,2,2,1,144.0,3,0.0006
7824,Caribbean,República Dominicana,Second Class,5,2,3,1,142.5,3,0.0006
55155,Central America,México,Second Class,6,2,4,1,139.5,3,0.0006
5991,Central America,México,Second Class,2,2,0,0,132.0,3,0.0006
2263,Central America,México,Second Class,4,2,2,1,132.0,3,0.0006
2263,Central America,México,Second Class,4,2,2,1,130.5,3,0.0006
53403,Central America,México,Second Class,4,2,2,1,124.5,3,0.0006
51298,South America,Brasil,Second Class,4,2,2,1,99.58000183,3,0.0006
4919,South America,Uruguay,Standard Class,5,4,1,1,240.0,5,0.00025
52640,South America,Argentina,Standard Class,6,4,2,1,189.9499969,5,0.00025
6358,South America,Brasil,Standard Class,4,4,0,0,188.9499969,5,0.00025
57106,South America,Brasil,Standard Class,2,4,-2,0,236.25,5,0.00025
6245,South America,Brasil,Standard Class,6,4,2,1,236.25,5,0.00025
52166,Caribbean,Cuba,Standard Class,2,4,-2,0,136.5,5,0.00025
56172,Caribbean,Cuba,Standard Class,3,4,-1,0,181.9499969,5,0.00025
55829,Caribbean,República Dominicana,Standard Class,5,4,1,1,225.0,5,0.00025
52478,Central America,México,Standard Class,4,4,0,0,225.0,5,0.00025
57242,Central America,Panamá,Standard Class,3,4,-1,0,173.9600067,5,0.00025
3137,Central America,México,Standard Class,3,4,-1,0,217.5,5,0.00025
60127,South America,Brasil,Standard Class,3,4,-1,0,217.5,5,0.00025
3828,Central America,Panamá,Standard Class,4,4,0,0,169.9600067,5,0.00025
60386,South America,Brasil,Standard Class,2,4,-2,0,212.5,5,0.00025
973,Caribbean,Cuba,Standard Class,4,4,0,0,167.9600067,5,0.00025
57999,Central America,Honduras,Standard Class,5,4,1,1,207.5,5,0.00025
54585,South America,Perú,Standard Class,6,4,2,1,207.5,5,0.00025
57598,Caribbean,Cuba,Standard Class,4,4,0,0,200.0,5,0.00025
54274,Central America,México,Standard Class,5,4,1,1,200.0,5,0.00025
60673,Central America,Nicaragua,Standard Class,4,4,0,0,149.9600067,5,0.00025
59387,Central America,México,Standard Class,3,4,-1,0,187.5,5,0.00025
52640,South America,Argentina,Standard Class,6,4,2,1,187.5,5,0.00025
10007,South America,Brasil,Standard Class,3,4,-1,0,187.5,5,0.00025
55984,Central America,El Salvador,Standard Class,5,4,1,1,237.5500031,5,0.00025
52478,Central America,México,Standard Class,4,4,0,0,153.5500031,5,0.00025
58375,Central America,Guatemala,Standard Class,6,4,2,1,395.9599915,5,0.00025
56448,Caribbean,Cuba,Standard Class,4,4,0,0,124.4599991,5,0.00025
8221,South America,Argentina,Standard Class,2,4,-2,0,284.9500122,5,0.00025
58034,Central America,Guatemala,Standard Class,5,4,1,1,499.9500122,5,0.00025
2203,Central America,Guatemala,Standard Class,4,4,0,0,494.9500122,5,0.00025
53069,South America,Ecuador,Standard Class,5,4,1,1,484.9500122,5,0.00025
60146,Central America,Nicaragua,Standard Class,2,4,-2,0,479.9500122,5,0.00025
55409,South America,Venezuela,Standard Class,5,4,1,1,479.9500122,5,0.00025
8678,Central America,Panamá,Standard Class,4,4,0,0,474.9500122,5,0.00025
7980,Central America,Panamá,Standard Class,6,4,2,1,474.9500122,5,0.00025
57185,Central America,Guatemala,Standard Class,6,4,2,1,449.9599915,5,0.00025
8636,South America,Brasil,Standard Class,2,4,-2,0,449.9599915,5,0.00025
61192,South America,Brasil,Standard Class,3,4,-1,0,337.4599915,5,0.00025
55876,Central America,Nicaragua,Standard Class,2,4,-2,0,299.9500122,5,0.00025
53331,Central America,México,Standard Class,2,4,-2,0,296.9500122,5,0.00025
51725,Central America,El Salvador,Standard Class,6,4,2,1,296.9500122,5,0.00025
52562,South America,Argentina,Standard Class,3,4,-1,0,293.9500122,5,0.00025
59754,Central America,El Salvador,Standard Class,5,4,1,1,290.9500122,5,0.00025
53574,Central America,Honduras,Standard Class,5,4,1,1,287.9500122,5,0.00025
399,Central America,México,Standard Class,5,4,1,1,283.4500122,5,0.00025
51050,Central Africa,Angola,Second Class,6,2,4,1,86.98999786,1,0.0002
45680,North Africa,Sudán,Second Class,6,2,4,1,127.3899994,1,0.0002
42992,East Africa,Somalia,Second Class,3,2,1,1,118.2900009,1,0.0002
41304,North Africa,Marruecos,Second Class,5,2,3,1,116.9899979,1,0.0002
45680,North Africa,Sudán,Second Class,6,2,4,1,49.18999863,1,0.0002
44253,West Africa,Costa de Marfil,Second Class,4,2,2,1,103.9899979,1,0.0002
46098,North Africa,Egipto,Second Class,4,2,2,1,296.980011,1,0.0002
41304,North Africa,Marruecos,Second Class,5,2,3,1,293.980011,1,0.0002
71077,Southern Europe,Italia,Second Class,3,2,1,1,252.8800049,1,0.0002
69703,Western Europe,Alemania,Second Class,4,2,2,1,447.519989,1,0.0002
71112,Western Europe,Francia,Second Class,3,2,1,1,250.3500061,1,0.0002
69810,Western Europe,Alemania,Second Class,6,2,4,1,443.0,1,0.0002
71092,Western Europe,Alemania,Second Class,3,2,1,1,245.2899933,1,0.0002
69610,Southern Europe,Italia,Second Class,6,2,4,1,433.9599915,1,0.0002
71000,Western Europe,Alemania,Second Class,6,2,4,1,240.2400055,1,0.0002
70734,Northern Europe,Reino Unido,Second Class,5,2,3,1,1417.5,1,0.0002
69626,Western Europe,Francia,Second Class,2,2,0,0,427.1799927,1,0.0002
69482,Western Europe,Alemania,Second Class,3,2,1,1,427.1799927,1,0.0002
70769,Northern Europe,Reino Unido,Second Class,5,2,3,1,1395.0,1,0.0002
69643,Southern Europe,Italia,Second Class,4,2,2,1,420.3999939,1,0.0002
71051,Northern Europe,Reino Unido,Second Class,2,2,0,0,230.1199951,1,0.0002
69408,Southern Europe,Italia,Second Class,4,2,2,1,411.3599854,1,0.0002
71123,Southern Europe,España,Second Class,4,2,2,1,230.1199951,1,0.0002
70534,Western Europe,Francia,Second Class,5,2,3,1,1365.0,1,0.0002
69641,Southern Europe,España,Second Class,2,2,0,0,406.8399963,1,0.0002
70960,Western Europe,Francia,Second Class,6,2,4,1,227.5899963,1,0.0002
69908,Northern Europe,Reino Unido,Second Class,4,2,2,1,384.230011,1,0.0002
70957,Western Europe,Francia,Second Class,3,2,1,1,214.9499969,1,0.0002
69637,Western Europe,Francia,Second Class,3,2,1,1,379.7099915,1,0.0002
70955,Northern Europe,Reino Unido,Second Class,6,2,4,1,209.8899994,1,0.0002
70919,Southern Europe,Italia,Second Class,5,2,3,1,209.8899994,1,0.0002
71009,Western Europe,Alemania,Second Class,5,2,3,1,209.8899994,1,0.0002
69653,Northern Europe,Reino Unido,Second Class,4,2,2,1,370.6700134,1,0.0002
69527,Southern Europe,Italia,Second Class,3,2,1,1,370.6700134,1,0.0002
71080,Western Europe,Alemania,Second Class,6,2,4,1,207.3600006,1,0.0002
70544,Northern Europe,Reino Unido,Second Class,5,2,3,1,1200.0,1,0.0002
69471,Northern Europe,Reino Unido,Second Class,2,2,0,0,339.0299988,1,0.0002
68879,Western Europe,Francia,Second Class,5,2,3,1,989.9899902,1,0.0002
67214,Southern Europe,España,Second Class,5,2,3,1,78.38999939,1,0.0002
17810,Northern Europe,Suecia,Second Class,6,2,4,1,52.18999863,1,0.0002
18793,Northern Europe,Reino Unido,Second Class,4,2,2,1,43.18999863,1,0.0002
65109,Western Europe,Alemania,Second Class,5,2,3,1,95.98999786,1,0.0002
15673,Northern Europe,Reino Unido,Second Class,4,2,2,1,94.98999786,1,0.0002
18183,Western Europe,Países Bajos,Second Class,4,2,2,1,41.84000015,1,0.0002
20234,Western Europe,Austria,Second Class,5,2,3,1,89.98999786,1,0.0002
13139,Western Europe,Austria,Second Class,5,2,3,1,87.98999786,1,0.0002
33824,US Center ,Estados Unidos,Standard Class,5,4,1,1,128.2200012,3,0.00015
31364,West of USA ,Estados Unidos,Standard Class,5,4,1,1,278.9700012,3,0.00015
40495,West of USA ,Estados Unidos,Standard Class,6,4,2,1,272.9700012,3,0.00015
31364,West of USA ,Estados Unidos,Standard Class,5,4,1,1,272.9700012,3,0.00015
34506,West of USA ,Estados Unidos,Standard Class,2,4,-2,0,170.9700012,3,0.00015
33607,West of USA ,Estados Unidos,Standard Class,3,4,-1,0,167.3699951,3,0.00015
32617,East of USA,Estados Unidos,Standard Class,3,4,-1,0,158.3699951,3,0.00015
37496,US Center ,Estados Unidos,Standard Class,2,4,-2,0,118.7699966,3,0.00015
32617,East of USA,Estados Unidos,Standard Class,3,4,-1,0,73.5,3,0.00015
49075,Canada,Canada,Standard Class,6,4,2,1,132.0,3,0.00015
33824,US Center ,Estados Unidos,Standard Class,5,4,1,1,132.0,3,0.00015
49075,Canada,Canada,Standard Class,6,4,2,1,130.5,3,0.00015
41623,Canada,Canada,Standard Class,4,4,0,0,99.58000183,3,0.00015
39271,East of USA,Estados Unidos,Standard Class,2,4,-2,0,99.58000183,3,0.00015
38598,US Center ,Estados Unidos,Standard Class,4,4,0,0,74.22000122,3,0.00015
37845,US Center ,Estados Unidos,Standard Class,6,4,2,1,40.29000092,3,0.00015
42331,East Africa,Madagascar,Standard Class,2,4,-2,0,227.9600067,4,0.0002
41345,North Africa,Argelia,Standard Class,6,4,2,1,203.9700012,4,0.0002
51168,West Africa,Liberia,Standard Class,4,4,0,0,200.0,4,0.0002
51168,West Africa,Liberia,Standard Class,4,4,0,0,156.7599945,4,0.0002
43599,North Africa,Sudán,Standard Class,5,4,1,1,189.0,4,0.0002
41901,West Africa,Costa de Marfil,Standard Class,2,4,-2,0,79.97000122,4,0.0002
42751,East Africa,Zambia,Standard Class,2,4,-2,0,363.9599915,4,0.0002
45088,North Africa,Marruecos,Standard Class,4,4,0,0,239.9600067,4,0.0002
50489,North Africa,Egipto,Standard Class,5,4,1,1,230.3600006,4,0.0002
44409,West Africa,Senegal,Standard Class,5,4,1,1,227.9600067,4,0.0002
42101,North Africa,Egipto,Standard Class,2,4,-2,0,226.7599945,4,0.0002
50424,North Africa,Marruecos,Standard Class,5,4,1,1,208.7700043,4,0.0002
49825,West Africa,Costa de Marfil,Standard Class,6,4,2,1,200.0,4,0.0002
41294,North Africa,Egipto,Standard Class,5,4,1,1,198.0,4,0.0002
42023,West Africa,Níger,Standard Class,4,4,0,0,155.1600037,4,0.0002
47774,North Africa,Marruecos,Standard Class,5,4,1,1,151.1600037,4,0.0002
41827,Southern Africa,SudAfrica,Standard Class,3,4,-1,0,111.5999985,4,0.0002
47193,North Africa,Marruecos,Standard Class,4,4,0,0,170.0,4,0.0002
42626,North Africa,Sudán,Standard Class,2,4,-2,0,160.0,4,0.0002
46199,West Africa,Nigeria,Standard Class,5,4,1,1,150.0,4,0.0002
48468,West Africa,Nigeria,Standard Class,4,4,0,0,94.45999908,4,0.0002
51009,East Africa,Mozambique,Standard Class,5,4,1,1,395.9599915,4,0.0002
46229,Southern Africa,SudAfrica,Standard Class,5,4,1,1,391.9599915,4,0.0002
42882,East Africa,Tanzania,Standard Class,3,4,-1,0,379.9599915,4,0.0002
46827,East Africa,Somalia,Standard Class,3,4,-1,0,363.9599915,4,0.0002
48684,East Africa,Ruanda,Standard Class,5,4,1,1,359.9599915,4,0.0002
48684,East Africa,Ruanda,Standard Class,5,4,1,1,351.9599915,4,0.0002
46416,North Africa,Egipto,Standard Class,2,4,-2,0,351.9599915,4,0.0002
47343,Southern Africa,SudAfrica,Standard Class,4,4,0,0,339.9700012,4,0.0002
41686,West Asia,Turquía,Standard Class,2,4,-2,0,124.7900009,1,5e-05
41896,West Asia,Israel,Standard Class,2,4,-2,0,124.7900009,1,5e-05
28168,Oceania,Australia,Standard Class,4,4,0,0,56.99000168,1,5e-05
24992,Oceania,Australia,Standard Class,3,4,-1,0,123.4899979,1,5e-05
30851,Oceania,Nueva Zelanda,Standard Class,2,4,-2,0,123.4899979,1,5e-05
25074,Oceania,Australia,Standard Class,5,4,1,1,123.4899979,1,5e-05
76870,Oceania,Australia,Standard Class,6,4,2,1,205.0299988,1,5e-05
25163,South Asia,Bangladés,Standard Class,4,4,0,0,123.4899979,1,5e-05
28036,South Asia,India,Standard Class,2,4,-2,0,123.4899979,1,5e-05
22679,Southeast Asia,Tailandia,Standard Class,5,4,1,1,123.4899979,1,5e-05
23610,Southeast Asia,Tailandia,Standard Class,6,4,2,1,123.4899979,1,5e-05
42828,West Asia,Irak,Standard Class,4,4,0,0,56.99000168,1,5e-05
41896,West Asia,Israel,Standard Class,2,4,-2,0,123.4899979,1,5e-05
48713,West Asia,Turquía,Standard Class,4,4,0,0,123.4899979,1,5e-05
45668,West Asia,Arabia Saudí,Standard Class,4,4,0,0,123.4899979,1,5e-05
74796,Eastern Asia,China,Standard Class,2,4,-2,0,436.1000061,1,5e-05
27918,Eastern Asia,China,Standard Class,4,4,0,0,122.8399963,1,5e-05
30097,Oceania,Australia,Standard Class,3,4,-1,0,56.68999863,1,5e-05
30966,Oceania,Nueva Zelanda,Standard Class,2,4,-2,0,122.8399963,1,5e-05
30063,Oceania,Australia,Standard Class,4,4,0,0,122.8399963,1,5e-05
22019,South Asia,India,Standard Class,5,4,1,1,122.8399963,1,5e-05
24230,Southeast Asia,Filipinas,Standard Class,6,4,2,1,122.8399963,1,5e-05
48713,West Asia,Turquía,Standard Class,4,4,0,0,122.8399963,1,5e-05
42353,West Asia,Turquía,Standard Class,4,4,0,0,122.8399963,1,5e-05
45668,West Asia,Arabia Saudí,Standard Class,4,4,0,0,122.8399963,1,5e-05
42134,Central Asia,Kazajistán,Standard Class,5,4,1,1,120.8899994,1,5e-05
21522,Eastern Asia,China,Standard Class,3,4,-1,0,120.8899994,1,5e-05
23767,Eastern Asia,China,Standard Class,3,4,-1,0,120.8899994,1,5e-05
25433,Eastern Asia,China,Standard Class,4,4,0,0,120.8899994,1,5e-05
73893,Eastern Asia,China,Standard Class,4,4,0,0,200.7100067,1,5e-05
30085,Oceania,Australia,Standard Class,6,4,2,1,55.79000092,1,5e-05
30172,Oceania,Australia,Standard Class,3,4,-1,0,120.8899994,1,5e-05
27478,Oceania,Australia,Standard Class,4,4,0,0,120.8899994,1,5e-05
76976,Oceania,Australia,Standard Class,2,4,-2,0,200.7100067,1,5e-05
24063,South Asia,India,Standard Class,4,4,0,0,120.8899994,1,5e-05
51209,South Asia,Irán,Standard Class,5,4,1,1,120.8899994,1,5e-05
73839,South Asia,India,Standard Class,5,4,1,1,200.7100067,1,5e-05
74723,Southeast Asia,Indonesia,Standard Class,4,4,0,0,429.1799927,1,5e-05
26821,Southeast Asia,Indonesia,Standard Class,2,4,-2,0,120.8899994,1,5e-05
77102,Southeast Asia,Myanmar (Birmania),Standard Class,3,4,-1,0,200.7100067,1,5e-05
41608,West Asia,Turquía,Standard Class,4,4,0,0,120.8899994,1,5e-05
47009,West Asia,Irak,Standard Class,5,4,1,1,120.8899994,1,5e-05
49916,Central Asia,Uzbekistán,Standard Class,2,4,-2,0,118.2900009,1,5e-05
29746,Eastern Asia,China,Standard Class,2,4,-2,0,54.59000015,1,5e-05
72533,Eastern Asia,China,Standard Class,4,4,0,0,191.8699951,1,5e-05
48608,West Africa,Benín,Standard Class,4,4,0,0,225.0,5,0.00025
45506,West Africa,Nigeria,Standard Class,2,4,-2,0,220.0,5,0.00025
45027,West Africa,Nigeria,Standard Class,3,4,-1,0,173.9600067,5,0.00025
46308,Central Africa,República Democrática del Congo,Standard Class,4,4,0,0,169.9600067,5,0.00025
43685,West Africa,Nigeria,Standard Class,6,4,2,1,210.0,5,0.00025
41893,Central Africa,Camerún,Standard Class,4,4,0,0,207.5,5,0.00025
46339,Central Africa,Angola,Standard Class,5,4,1,1,207.5,5,0.00025
46667,West Africa,Nigeria,Standard Class,3,4,-1,0,207.5,5,0.00025
47647,East Africa,Kenia,Standard Class,3,4,-1,0,205.0,5,0.00025
48565,East Africa,Zambia,Standard Class,6,4,2,1,205.0,5,0.00025
43889,West Africa,Nigeria,Standard Class,5,4,1,1,205.0,5,0.00025
45138,Central Africa,Camerún,Standard Class,4,4,0,0,200.0,5,0.00025
44160,Central Africa,República Democrática del Congo,Standard Class,6,4,2,1,149.9600067,5,0.00025
49214,West Africa,Togo,Standard Class,5,4,1,1,187.5,5,0.00025
41825,Southern Africa,SudAfrica,Standard Class,6,4,2,1,124.9499969,5,0.00025
44504,West Africa,Senegal,Standard Class,5,4,1,1,118.6999969,5,0.00025
44496,East Africa,Madagascar,Standard Class,2,4,-2,0,118.0800018,5,0.00025
45559,West Africa,Togo,Standard Class,5,4,1,1,74.34999847,5,0.00025
44074,West Africa,Nigeria,Standard Class,5,4,1,1,67.16000366,5,0.00025
49857,North Africa,Argelia,Standard Class,3,4,-1,0,131.1600037,5,0.00025
41786,North Africa,Marruecos,Standard Class,2,4,-2,0,119.9599991,5,0.00025
48042,West Africa,Benín,Standard Class,3,4,-1,0,186.7100067,5,0.00025
44301,North Africa,Sudán,Standard Class,2,4,-2,0,474.9500122,5,0.00025
41591,East Africa,Tanzania,Standard Class,2,4,-2,0,299.9500122,5,0.00025
44981,North Africa,Egipto,Standard Class,2,4,-2,0,165.9600067,5,0.00025
41545,Southern Africa,SudAfrica,Standard Class,6,4,2,1,200.0,5,0.00025
49910,Southern Africa,SudAfrica,Standard Class,6,4,2,1,196.7599945,5,0.00025
19590,Western Europe,Francia,Standard Class,6,4,2,1,284.9500122,5,0.00025
43650,Eastern Europe,Ucrania,Standard Class,6,4,2,1,174.9499969,5,0.00025
15202,Western Europe,Francia,Standard Class,3,4,-1,0,494.9500122,5,0.00025
15462,Southern Europe,España,Standard Class,3,4,-1,0,137.1499939,5,0.00025
15155,Western Europe,Francia,Standard Class,6,4,2,1,489.9500122,5,0.00025
64451,Western Europe,Francia,Standard Class,2,4,-2,0,484.9500122,5,0.00025
67028,Western Europe,Francia,Standard Class,4,4,0,0,484.9500122,5,0.00025
62336,Western Europe,Francia,Standard Class,2,4,-2,0,484.9500122,5,0.00025
11334,Western Europe,Alemania,Standard Class,5,4,1,1,155.1499939,5,0.00025
62885,Southern Europe,Italia,Standard Class,6,4,2,1,479.9500122,5,0.00025
66998,Southern Europe,Italia,Standard Class,4,4,0,0,479.9500122,5,0.00025
47002,Eastern Europe,Polonia,Standard Class,3,4,-1,0,474.9500122,5,0.00025
63445,Southern Europe,España,Standard Class,6,4,2,1,474.9500122,5,0.00025
67566,Western Europe,Francia,Standard Class,2,4,-2,0,474.9500122,5,0.00025
18884,Western Europe,Francia,Standard Class,5,4,1,1,166.1999969,5,0.00025
18845,Southern Europe,Portugal,Standard Class,6,4,2,1,165.3300018,5,0.00025
66854,Northern Europe,Reino Unido,Standard Class,5,4,1,1,464.9500122,5,0.00025
46955,Eastern Europe,Rumania,Standard Class,6,4,2,1,454.9500122,5,0.00025
55002,Central America,México,Standard Class,3,4,-1,0,101.9800034,2,0.0001
60445,South America,Colombia,Standard Class,6,4,2,1,101.9800034,2,0.0001
53586,Central America,México,Standard Class,2,4,-2,0,99.58000183,2,0.0001
56618,Central America,México,Standard Class,4,4,0,0,99.58000183,2,0.0001
51865,South America,Brasil,Standard Class,6,4,2,1,99.58000183,2,0.0001
2937,South America,Brasil,Standard Class,3,4,-1,0,100.0,2,0.0001
54446,South America,Brasil,Standard Class,2,4,-2,0,100.0,2,0.0001
58623,Central America,México,Standard Class,4,4,0,0,99.0,2,0.0001
7411,South America,Colombia,Standard Class,2,4,-2,0,79.18000031,2,0.0001
5348,Central America,México,Standard Class,4,4,0,0,97.0,2,0.0001
59742,Caribbean,República Dominicana,Standard Class,3,4,-1,0,96.0,2,0.0001
59498,Central America,México,Standard Class,4,4,0,0,76.77999878,2,0.0001
3459,Caribbean,Trinidad y Tobago,Standard Class,5,4,1,1,75.98000336,2,0.0001
8470,Central America,Guatemala,Standard Class,6,4,2,1,75.98000336,2,0.0001
53455,South America,Brasil,Standard Class,6,4,2,1,95.0,2,0.0001
2014,Central America,México,Standard Class,5,4,1,1,132.3000031,2,0.0001
55899,Central America,Panamá,Standard Class,5,4,1,1,46.5,2,0.0001
52582,Central America,México,Standard Class,3,4,-1,0,93.0,2,0.0001
56222,Central America,México,Standard Class,3,4,-1,0,93.0,2,0.0001
57829,South America,Brasil,Standard Class,5,4,1,1,72.77999878,2,0.0001
56217,Central America,Honduras,Standard Class,3,4,-1,0,71.98000336,2,0.0001
5893,Central America,Guatemala,Standard Class,4,4,0,0,71.98000336,2,0.0001
5528,Central America,Honduras,Standard Class,4,4,0,0,90.0,2,0.0001
367,South America,Venezuela,Standard Class,3,4,-1,0,71.98000336,2,0.0001
52353,South America,Brasil,Standard Class,4,4,0,0,90.0,2,0.0001
1784,South America,Brasil,Standard Class,5,4,1,1,90.0,2,0.0001
60317,Caribbean,Cuba,Standard Class,3,4,-1,0,70.37999725,2,0.0001
6776,Central America,México,Standard Class,2,4,-2,0,88.0,2,0.0001
4487,Central America,Guatemala,Standard Class,3,4,-1,0,87.0,2,0.0001
9681,Central America,Guatemala,Standard Class,2,4,-2,0,85.0,2,0.0001
60868,Central America,Guatemala,Standard Class,4,4,0,0,66.37999725,2,0.0001
